"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","unem_tot","unem_foreigner","unem_capita"
"07","Wilzenberg-Hußweiler",6.46,308,159,149,48,"55767",7.221819,49.702828,"07134094",2012,7,0,0.0227272727272727
"07","Allenbach",27.54,641,321,320,23,"55758",7.167563,49.755711,"07134003",2012,13,0,0.0202808112324493
"07","Bergen",10.42,438,215,223,42,"55608",7.418004,49.780909,"07134006",2012,8,0,0.0182648401826484
"07","Berschweiler bei Kirn",7.53,267,135,132,35,"55608",7.391829,49.770948,"07134009",2012,4,0,0.0149812734082397
"07","Breitenthal",3.68,311,151,160,85,"55758",7.335186,49.800794,"07134013",2012,8,0,0.0257234726688103
"07","Bruchweiler",8.13,498,240,258,61,"55758",7.225234,49.798781,"07134014",2012,8,0,0.0160642570281124
"07","Dickesbach",4.91,437,224,213,89,"55758",7.423229,49.718812,"07134019",2012,6,0,0.0137299771167048
"07","Fischbach",4,917,459,458,229,"55743",7.398615,49.742985,"07134025",2012,20,0,0.0218102508178844
"07","Gerach",2.29,244,128,116,107,"55743",7.340646,49.752587,"07134028",2012,6,0,0.0245901639344262
"07","Griebelschied",4.19,165,89,76,39,"55608",7.400712,49.799582,"07134032",2012,6,0,0.0363636363636364
"07","Herborn",2.46,538,270,268,219,"55758",7.294177,49.766709,"07134038",2012,9,0,0.016728624535316
"07","Herrstein",4.79,873,425,448,182,"55756",7.337804,49.780729,"07134039",2012,26,1,0.0297823596792669
"07","Hettenrodt",5.32,677,335,342,127,"55758",7.254543,49.739529,"07134040",2012,8,0,0.0118168389955687
"07","Hintertiefenbach",4.68,351,173,178,75,"55743",7.356001,49.739617,"07134041",2012,8,0,0.0227920227920228
"07","Kempfeld",9.66,822,415,407,85,"55758",7.242393,49.791205,"07134046",2012,19,2,0.0231143552311436
"07","Kirschweiler",4.89,1124,546,578,230,"55743",7.24255,49.753774,"07134047",2012,17,1,0.0151245551601423
"07","Mackenrodt",4.9,407,195,212,83,"55758",7.254604,49.724564,"07134052",2012,7,0,0.0171990171990172
"07","Mittelreidenbach",5.07,790,401,389,156,"55758",7.441942,49.726504,"07134055",2012,18,0,0.0227848101265823
"07","Mörschied",10.7,821,410,411,77,"55758",7.306743,49.789117,"07134056",2012,20,2,0.0243605359317905
"07","Niederhosenbach",7.43,311,163,148,42,"55758",7.364204,49.794357,"07134059",2012,7,0,0.022508038585209
"07","Niederwörresbach",9.35,881,413,468,94,"55758",7.335887,49.768771,"07134060",2012,14,0,0.0158910329171396
"07","Oberhosenbach",4.14,152,77,75,37,"55758",7.330574,49.813288,"07134064",2012,1,0,0.00657894736842105
"07","Oberreidenbach",10.93,609,289,320,56,"55758",7.462462,49.705734,"07134066",2012,11,0,0.0180623973727422
"07","Oberwörresbach",1.4,133,64,69,95,"55758",7.319938,49.778789,"07134067",2012,2,0,0.0150375939849624
"07","Schmidthachenbach",10.05,386,193,193,38,"55758",7.470974,49.732605,"07134077",2012,11,0,0.0284974093264249
"07","Sensweiler",8.43,442,225,217,52,"55758",7.197317,49.774449,"07134081",2012,13,1,0.0294117647058824
"07","Sien",8.47,503,238,265,59,"55758",7.502404,49.693175,"07134082",2012,8,1,0.0159045725646123
"07","Sienhachenbach",7.6,206,107,99,27,"55758",7.481219,49.699395,"07134083",2012,6,0,0.029126213592233
"07","Sonnschied",3.85,121,59,62,31,"55758",7.389221,49.819367,"07134086",2012,5,1,0.0413223140495868
"07","Veitsrodt",7.94,652,333,319,82,"55758",7.300754,49.755281,"07134089",2012,9,1,0.0138036809815951
"07","Vollmersbach",2.44,505,230,275,207,"55758",7.307631,49.742099,"07134090",2012,9,0,0.0178217821782178
"07","Weiden",2.6,98,52,46,38,"55758",7.300301,49.807135,"07134091",2012,3,0,0.0306122448979592
"07","Wickenrodt",5.27,172,84,88,33,"55758",7.358916,49.815692,"07134093",2012,3,0,0.0174418604651163
"07","Wirschweiler",10.26,330,160,170,32,"55758",7.172078,49.762715,"07134095",2012,6,0,0.0181818181818182
"07","Langweiler",5.2,263,137,126,51,"55758",7.185941,49.782615,"07134502",2012,8,0,0.0304182509505703
"07","Asbach",3.47,168,78,90,48,"55758",7.279572,49.812309,"07134004",2012,2,0,0.0119047619047619
"07","Bollenbach",3.77,140,69,71,37,"55624",7.352177,49.843461,"07134012",2012,4,0,0.0285714285714286
"07","Bundenbach",7.7,911,434,477,118,"55626",7.377148,49.842133,"07134017",2012,24,0,0.026344676180022
"07","Gösenroth",4.49,255,119,136,57,"55624",7.326277,49.889799,"07134030",2012,3,0,0.0117647058823529
"07","Hausen",4.99,182,88,94,36,"55608",7.374013,49.872655,"07134035",2012,7,0,0.0384615384615385
"07","Hellertshausen",7.46,192,92,100,26,"55758",7.277309,49.820353,"07134037",2012,4,0,0.0208333333333333
"07","Horbruch",5.18,359,182,177,69,"55483",7.238815,49.889057,"07134043",2012,12,2,0.0334261838440111
"07","Hottenbach",11.21,614,310,304,55,"55758",7.2988,49.824067,"07134044",2012,14,0,0.0228013029315961
"07","Krummenau",4.32,179,93,86,41,"55483",7.272401,49.889781,"07134049",2012,3,1,0.0167597765363128
"07","Oberkirn",5.45,309,157,152,57,"55624",7.372073,49.884965,"07134065",2012,8,0,0.0258899676375405
"07","Rhaunen",10.75,2131,1014,1117,198,"55624",7.346012,49.863975,"07134069",2012,66,2,0.0309713749413421
"07","Schauren",7.12,533,263,270,75,"55758",7.236209,49.806733,"07134076",2012,10,1,0.0187617260787993
"07","Schwerbach",2.55,52,27,25,20,"55624",7.355692,49.895945,"07134079",2012,1,0,0.0192307692307692
"07","Stipshausen",11.11,876,435,441,79,"55758",7.292211,49.849096,"07134087",2012,21,1,0.023972602739726
"07","Sulzbach",6.68,305,164,141,46,"55758",7.336551,49.834085,"07134088",2012,10,0,0.0327868852459016
"07","Weitersbach",7.75,87,41,46,11,"55624",7.31628,49.872115,"07134092",2012,2,0,0.0229885057471264
"07","Beilstein",1.68,137,74,63,82,"56814",7.241188,50.110346,"07135007",2012,3,1,0.0218978102189781
"07","Bremm",9.12,805,401,404,88,"56814",7.115659,50.100608,"07135012",2012,11,0,0.0136645962732919
"07","Briedern",3.56,330,170,160,93,"56820",7.208648,50.110352,"07135015",2012,6,0,0.0181818181818182
