,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051078, Nindorf,22 ,1 ,2 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,16 ,1 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
01051079, Norddeich,19 ,0 ,2 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051080, Norderheistedt,10 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051081, Norderwöhrden,3 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051082, Nordhastedt,71 ,1 ,8 ,24 ,12 ,4 ,0 ,0 ,1 ,1 ,34 ,0 ,4 ,13 ,8 ,1 ,0 ,0 ,1 ,1 ,37 ,1 ,3 ,10 ,5 ,2 ,0 ,0 ,0 ,0 
01051083, Odderade,12 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051084, Oesterdeichstrich,9 ,0 ,1 ,6 ,2 ,1 ,0 ,0 ,1 ,0 ,4 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 
01051085, Offenbüttel,5 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051086, Osterrade,13 ,0 ,2 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051087, Ostrohe,19 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051088, Pahlen,39 ,2 ,9 ,10 ,2 ,1 ,0 ,0 ,0 ,0 ,13 ,0 ,4 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,26 ,2 ,4 ,8 ,2 ,0 ,0 ,0 ,0 ,0 
01051089, Quickborn,4 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051090, Ramhusen,4 ,0 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
01051092, Rehm-Flehde-Bargen,18 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051093, Reinsbüttel,8 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051096, Sankt Annen,10 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051097, Sankt Michaelisdonn,114 ,5 ,15 ,28 ,15 ,7 ,0 ,0 ,1 ,0 ,32 ,2 ,6 ,11 ,7 ,1 ,0 ,0 ,0 ,0 ,82 ,3 ,9 ,18 ,8 ,7 ,0 ,0 ,1 ,0 
01051098, Sarzbüttel,23 ,0 ,2 ,12 ,8 ,1 ,0 ,0 ,1 ,1 ,8 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,2 ,8 ,6 ,1 ,0 ,0 ,1 ,1 
01051099, Schafstedt,32 ,1 ,4 ,8 ,3 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,24 ,1 ,2 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051100, Schalkholz,22 ,1 ,3 ,7 ,2 ,1 ,0 ,0 ,0 ,0 ,10 ,1 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
01051102, Schlichting,16 ,1 ,2 ,8 ,4 ,1 ,0 ,0 ,1 ,0 ,5 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,2 ,4 ,1 ,1 ,0 ,0 ,1 ,0 
01051103, Schmedeswurth,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051104, Schrum,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051105, Schülp,18 ,0 ,1 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051107, Stelle-Wittenwurth,13 ,1 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,1 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
01051108, Strübbel,4 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051109, Süderdeich,20 ,1 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051110, Süderhastedt,20 ,1 ,2 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 
01051113, Wöhrden,34 ,1 ,4 ,12 ,7 ,2 ,0 ,1 ,1 ,1 ,13 ,0 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,21 ,1 ,3 ,7 ,4 ,2 ,0 ,1 ,1 ,1 
01051114, Tellingstedt,84 ,1 ,11 ,20 ,11 ,2 ,0 ,0 ,0 ,0 ,26 ,1 ,7 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,58 ,1 ,5 ,13 ,5 ,2 ,0 ,0 ,0 ,0 
01051117, Tielenhemme,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051118, Trennewurth,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051119, Volsemenhusen,5 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051120, Wallen,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051121, Warwerort,9 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051122, Weddingstedt,55 ,2 ,8 ,19 ,12 ,1 ,0 ,0 ,0 ,0 ,24 ,0 ,4 ,11 ,8 ,0 ,0 ,0 ,0 ,0 ,31 ,1 ,4 ,7 ,4 ,1 ,0 ,0 ,0 ,0 
01051125, Welmbüttel,18 ,0 ,1 ,6 ,3 ,2 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 
01051126, Wennbüttel,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051127," Wesselburen, Stadt",143 ,5 ,22 ,35 ,19 ,11 ,0 ,2 ,2 ,0 ,38 ,2 ,7 ,14 ,10 ,5 ,0 ,1 ,2 ,0 ,105 ,3 ,15 ,21 ,10 ,6 ,0 ,1 ,1 ,0 
01051128, Wesselburener Deichhausen,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051129, Wesselburenerkoog,4 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051130, Wesseln,19 ,1 ,3 ,8 ,3 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,3 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051131, Westerborstel,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051132, Westerdeichstrich,25 ,0 ,3 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051133, Wiemerstedt,4 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051134, Windbergen,29 ,2 ,5 ,6 ,3 ,2 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,20 ,2 ,4 ,3 ,0 ,1 ,0 ,0 ,0 ,0 
01051135, Wolmersdorf,5 ,0 ,0 ,3 ,2 ,1 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,1 ,0 
01051136, Wrohm,20 ,1 ,2 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,2 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
01051137, Nordermeldorf,19 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051138, Tensbüttel-Röst,15 ,0 ,2 ,4 ,3 ,1 ,0 ,1 ,0 ,0 ,7 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,2 ,2 ,1 ,0 ,1 ,0 ,0 
01051139, Süderdorf,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051140, Oesterwurth,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051141, Süderheistedt,13 ,0 ,1 ,4 ,1 ,1 ,0 ,0 ,1 ,0 ,4 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,1 ,0 ,9 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
01053, Herzogtum Lauenburg,"6,191 ",136 ,747 ,"1,934 ","1,128 ",774 ,19 ,81 ,165 ,88 ,"1,943 ",38 ,304 ,708 ,494 ,106 ,3 ,19 ,22 ,14 ,"4,248 ",98 ,443 ,"1,226 ",634 ,668 ,16 ,62 ,143 ,74 
01053001, Albsfelde,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053002, Alt Mölln,18 ,0 ,3 ,10 ,5 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01053003, Aumühle,38 ,1 ,3 ,15 ,8 ,5 ,0 ,1 ,1 ,0 ,17 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,21 ,1 ,2 ,8 ,4 ,4 ,0 ,1 ,1 ,0 
01053004, Bäk,19 ,0 ,3 ,5 ,3 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,2 ,0 ,1 ,0 ,0 ,0 ,0 
01053005, Bälau,8 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01053006, Basedow,25 ,0 ,3 ,10 ,9 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,3 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,5 ,4 ,1 ,0 ,0 ,0 ,0 
01053007, Basthorst,7 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01053008, Behlendorf,6 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053009, Berkenthin,44 ,1 ,3 ,13 ,10 ,1 ,0 ,0 ,1 ,0 ,15 ,0 ,2 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,29 ,0 ,1 ,7 ,5 ,1 ,0 ,0 ,1 ,0 
01053010, Besenthal,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053011, Bliestorf,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01053012, Börnsen,86 ,1 ,7 ,32 ,20 ,7 ,0 ,0 ,0 ,0 ,38 ,1 ,5 ,14 ,11 ,2 ,0 ,0 ,0 ,0 ,48 ,0 ,2 ,18 ,9 ,6 ,0 ,0 ,0 ,0 
01053013, Borstorf,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053014, Breitenfelde,50 ,1 ,6 ,16 ,7 ,1 ,0 ,0 ,1 ,1 ,17 ,0 ,4 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,33 ,1 ,2 ,9 ,3 ,1 ,0 ,0 ,1 ,1 
01053015, Bröthen,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01053016, Brunsmark,4 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01053017, Brunstorf,14 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01053018, Buchholz,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053019, Buchhorst,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053020, Büchen,170 ,6 ,24 ,43 ,23 ,12 ,0 ,1 ,2 ,2 ,55 ,2 ,12 ,20 ,12 ,1 ,0 ,0 ,0 ,0 ,115 ,5 ,12 ,23 ,11 ,11 ,0 ,1 ,2 ,2 
01053021, Dahmker,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053022, Dalldorf,10 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053023, Dassendorf,56 ,1 ,5 ,22 ,9 ,2 ,0 ,0 ,0 ,0 ,31 ,0 ,4 ,14 ,7 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,2 ,8 ,2 ,1 ,0 ,0 ,0 ,0 
01053024, Düchelsdorf,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01053025, Duvensee,14 ,0 ,0 ,6 ,3 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
01053026, Einhaus,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01053027, Elmenhorst,16 ,0 ,2 ,7 ,3 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,4 ,2 ,1 ,0 ,0 ,0 ,0 
01053028, Escheburg,60 ,0 ,3 ,18 ,13 ,8 ,0 ,0 ,0 ,0 ,34 ,0 ,2 ,11 ,8 ,2 ,0 ,0 ,0 ,0 ,25 ,0 ,1 ,7 ,5 ,6 ,0 ,0 ,0 ,0 
01053029, Fitzen,8 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01053031, Fuhlenhagen,4 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053032," Geesthacht, Stadt","1,437 ",38 ,183 ,430 ,244 ,309 ,7 ,29 ,71 ,36 ,340 ,9 ,62 ,119 ,89 ,36 ,2 ,7 ,8 ,4 ,"1,097 ",29 ,121 ,310 ,155 ,273 ,6 ,21 ,62 ,32 
01053033, Giesensdorf,5 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01053034, Göldenitz,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053035, Göttin,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053036, Grabau,6 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01053037, Grambek,6 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01053038, Grinau,3 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053039, Groß Boden,8 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01053040, Groß Disnack,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01053041, Groß Grönau,51 ,1 ,4 ,16 ,12 ,5 ,0 ,0 ,0 ,0 ,23 ,0 ,3 ,6 ,4 ,2 ,0 ,0 ,0 ,0 ,27 ,0 ,1 ,10 ,8 ,3 ,0 ,0 ,0 ,0 
01053042, Groß Pampau,5 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01053043, Groß Sarau,16 ,1 ,4 ,6 ,4 ,4 ,1 ,4 ,0 ,0 ,8 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,1 ,4 ,2 ,1 ,4 ,1 ,4 ,0 ,0 
01053044, Groß Schenkenberg,10 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01053045, Grove,9 ,0 ,0 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01053046, Gudow,37 ,0 ,4 ,14 ,8 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,22 ,0 ,2 ,8 ,3 ,0 ,0 ,0 ,0 ,0 
01053047, Gülzow,23 ,0 ,3 ,9 ,6 ,1 ,0 ,0 ,1 ,1 ,11 ,0 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,5 ,4 ,1 ,0 ,0 ,1 ,1 
01053048, Güster,25 ,0 ,1 ,12 ,7 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 
